Datetime,open,high,low,close,volume
2025-03-03 14:30:00+00:00,20980.072265625,21073.802734375,20721.705078125,20908.716796875,0
2025-03-03 15:30:00+00:00,20908.79296875,20940.54296875,20810.541015625,20848.5,154413011
2025-03-03 16:30:00+00:00,20856.91015625,20906.8046875,20791.515625,20894.13671875,122739851
2025-03-03 17:30:00+00:00,20894.052734375,20912.705078125,20636.044921875,20643.072265625,167268171
2025-03-03 18:30:00+00:00,20642.92578125,20746.9140625,20614.955078125,20670.13671875,132463089
2025-03-03 19:30:00+00:00,20669.259765625,20769.478515625,20323.951171875,20338.5,214199660
2025-03-03 20:30:00+00:00,20348.068359375,20427.15625,20279.5703125,20427.15625,163311000
2025-03-04 14:30:00+00:00,20274.853515625,20375.0078125,20035.16796875,20118.111328125,0
2025-03-04 15:30:00+00:00,20106.669921875,20209.28515625,20066.361328125,20096.96875,206644976
2025-03-04 16:30:00+00:00,20118.80859375,20383.546875,20118.80859375,20355.25,176897411
2025-03-04 17:30:00+00:00,20347.845703125,20445.5390625,20276.361328125,20337.119140625,150566175
2025-03-04 18:30:00+00:00,20335.71484375,20576.86328125,20311.88671875,20524.4609375,149341000
2025-03-04 19:30:00+00:00,20530.48828125,20688.462890625,20501.908203125,20637.14453125,164415000
2025-03-04 20:30:00+00:00,20639.076171875,20639.076171875,20282.783203125,20351.5546875,156707000
2025-03-05 14:30:00+00:00,20368.197265625,20451.25390625,20239.037109375,20298.134765625,0
2025-03-05 15:30:00+00:00,20297.123046875,20398.099609375,20224.603515625,20264.55859375,152386011
2025-03-05 16:30:00+00:00,20255.677734375,20435.1171875,20186.994140625,20435.1171875,134301004
2025-03-05 17:30:00+00:00,20437.091796875,20543.509765625,20407.32421875,20464.861328125,137790195
2025-03-05 18:30:00+00:00,20459.58203125,20671.0859375,20418.748046875,20603.361328125,126517220
2025-03-05 19:30:00+00:00,20603.79296875,20687.87109375,20572.517578125,20655.98828125,142879011
2025-03-05 20:30:00+00:00,20649.056640625,20664.775390625,20571.150390625,20625.630859375,117202992
2025-03-06 14:30:00+00:00,20229.20703125,20445.029296875,20198.935546875,20426.447265625,0
2025-03-06 15:30:00+00:00,20423.685546875,20473.404296875,20323.923828125,20375.978515625,157467440
2025-03-06 16:30:00+00:00,20377.3046875,20425.662109375,20100.009765625,20122.619140625,164869341
2025-03-06 17:30:00+00:00,20122.30078125,20170.9296875,20061.41015625,20101.87890625,130761726
2025-03-06 18:30:00+00:00,20100.783203125,20125.06640625,19976.095703125,19993.060546875,143410406
2025-03-06 19:30:00+00:00,19991.81640625,20166.140625,19968.556640625,20070.6015625,183495406
2025-03-06 20:30:00+00:00,20088.85546875,20112.951171875,20007.21484375,20050.384765625,138942000
2025-03-07 14:30:00+00:00,20036.9765625,20205.25,20004.005859375,20024.1640625,0
2025-03-07 15:30:00+00:00,20014.37890625,20040.857421875,19828.13671875,19838.2421875,224717588
2025-03-07 16:30:00+00:00,19847.0234375,19860.3125,19738.013671875,19841.28515625,205178861
2025-03-07 17:30:00+00:00,19822.609375,20088.634765625,19819.46875,20021.759765625,175982359
2025-03-07 18:30:00+00:00,20023.865234375,20236.396484375,20014.708984375,20220.158203125,148452955
2025-03-07 19:30:00+00:00,20221.7734375,20241.46484375,20138.9375,20195.259765625,141933000
2025-03-07 20:30:00+00:00,20193.837890625,20250.36328125,20073.65625,20197.064453125,132412000
2025-03-10 13:30:00+00:00,19823.03125,19864.69921875,19629.169921875,19636.54296875,0
2025-03-10 14:30:00+00:00,19630.142578125,19647.001953125,19491.908203125,19604.056640625,249681017
2025-03-10 15:30:00+00:00,19606.201171875,19671.48046875,19494.416015625,19545.828125,177805058
2025-03-10 16:30:00+00:00,19551.8828125,19604.5703125,19428.072265625,19475.86328125,173488830
2025-03-10 17:30:00+00:00,19475.267578125,19480.2109375,19370.0,19400.24609375,166222471
2025-03-10 18:30:00+00:00,19405.13671875,19464.423828125,19248.150390625,19407.35546875,214469000
2025-03-10 19:30:00+00:00,19405.55859375,19517.04296875,19369.416015625,19432.875,190197000
2025-03-11 13:30:00+00:00,19409.2890625,19573.10546875,19288.619140625,19293.970703125,0
2025-03-11 14:30:00+00:00,19299.810546875,19473.041015625,19240.578125,19406.099609375,226924961
2025-03-11 15:30:00+00:00,19414.61328125,19516.2109375,19314.052734375,19359.3671875,148406130
2025-03-11 16:30:00+00:00,19374.375,19402.62890625,19185.9296875,19189.453125,126270735
2025-03-11 17:30:00+00:00,19185.875,19514.740234375,19184.61328125,19480.587890625,150662487
2025-03-11 18:30:00+00:00,19481.01171875,19659.427734375,19443.12890625,19526.14453125,200132000
2025-03-11 19:30:00+00:00,19529.986328125,19536.306640625,19369.71875,19375.0625,126325000
2025-03-12 13:30:00+00:00,19667.056640625,19756.0859375,19570.052734375,19611.69921875,0
2025-03-12 14:30:00+00:00,19608.46484375,19617.263671875,19377.244140625,19500.853515625,190720541
2025-03-12 15:30:00+00:00,19504.7265625,19676.99609375,19492.2890625,19656.076171875,143600194
2025-03-12 16:30:00+00:00,19664.443359375,19704.171875,19588.40625,19677.736328125,125215624
