Datetime,open,high,low,close,volume
2026-01-02 14:30:00+00:00,48105.98046875,48188.359375,47853.0390625,48081.05859375,48911555
2026-01-02 15:00:00+00:00,48080.6484375,48154.87890625,47900.16015625,47969.19921875,43210661
2026-01-02 15:30:00+00:00,47969.41015625,48172.76953125,47956.71875,48104.48046875,36891976
2026-01-02 16:00:00+00:00,48103.46875,48253.80859375,48084.30859375,48203.16015625,31882489
2026-01-02 16:30:00+00:00,48204.0,48232.0703125,48068.75,48118.640625,21563046
2026-01-02 17:00:00+00:00,48118.8984375,48251.578125,48109.94140625,48238.26953125,18983985
2026-01-02 17:30:00+00:00,48238.48046875,48275.62890625,48124.9609375,48137.87890625,18669160
2026-01-02 18:00:00+00:00,48139.76171875,48182.69921875,48097.12109375,48136.4609375,15184682
2026-01-02 18:30:00+00:00,48136.078125,48165.37890625,48086.98828125,48152.26171875,16838811
2026-01-02 19:00:00+00:00,48151.0703125,48330.91015625,48142.671875,48329.94921875,19527552
2026-01-02 19:30:00+00:00,48329.7890625,48401.01171875,48328.83984375,48371.75,17927827
2026-01-02 20:00:00+00:00,48371.9296875,48404.05859375,48340.609375,48354.7109375,18808341
2026-01-02 20:30:00+00:00,48353.359375,48383.4609375,48276.19921875,48383.21875,50981255
2026-01-05 14:30:00+00:00,48475.80859375,48954.421875,48449.62109375,48886.69140625,53778617
2026-01-05 15:00:00+00:00,48892.83984375,49063.05859375,48890.73046875,49063.01171875,46543991
2026-01-05 15:30:00+00:00,49064.0703125,49079.8984375,49001.37890625,49034.5,34760318
2026-01-05 16:00:00+00:00,49034.12890625,49099.828125,49001.140625,49051.21875,33302789
2026-01-05 16:30:00+00:00,49055.62109375,49125.37890625,49019.3984375,49117.078125,27631471
2026-01-05 17:00:00+00:00,49117.69140625,49157.19140625,49098.48046875,49109.4296875,34940676
2026-01-05 17:30:00+00:00,49109.9609375,49168.83984375,49109.6015625,49141.7890625,24999216
2026-01-05 18:00:00+00:00,49141.94140625,49180.671875,49127.21875,49159.8203125,23459631
2026-01-05 18:30:00+00:00,49159.87109375,49208.44140625,49158.48046875,49194.66015625,19976113
2026-01-05 19:00:00+00:00,49195.1015625,49209.94921875,49154.30859375,49167.3984375,25082426
2026-01-05 19:30:00+00:00,49167.3515625,49172.12109375,49052.5703125,49067.4609375,23374883
2026-01-05 20:00:00+00:00,49069.421875,49105.0703125,49032.44140625,49054.23828125,27293426
2026-01-05 20:30:00+00:00,49052.48828125,49069.5390625,48962.328125,48988.328125,59522627
2026-01-06 14:30:00+00:00,48987.359375,49083.96875,48924.26171875,49079.44921875,49475662
2026-01-06 15:00:00+00:00,49079.890625,49192.58984375,49072.171875,49181.3984375,41253435
2026-01-06 15:30:00+00:00,49181.3984375,49194.30859375,49073.8203125,49078.98828125,30152764
2026-01-06 16:00:00+00:00,49108.53125,49217.6484375,49095.9296875,49217.6484375,41379809
2026-01-06 16:30:00+00:00,49217.12890625,49249.69140625,49182.078125,49248.71875,29021024
2026-01-06 17:00:00+00:00,49249.03125,49352.37890625,49243.87109375,49348.80859375,23248991
2026-01-06 17:30:00+00:00,49370.9609375,49410.0390625,49353.94140625,49405.078125,27901434
2026-01-06 18:00:00+00:00,49403.328125,49427.62109375,49383.640625,49416.55859375,20411687
2026-01-06 18:30:00+00:00,49424.4296875,49453.76171875,49409.62109375,49452.3984375,22022617
2026-01-06 19:00:00+00:00,49453.609375,49495.3203125,49453.609375,49455.1484375,19367834
2026-01-06 19:30:00+00:00,49441.171875,49467.05078125,49424.83984375,49456.078125,21480544
2026-01-06 20:00:00+00:00,49455.75,49502.21875,49452.28125,49493.37109375,27691570
2026-01-06 20:30:00+00:00,49493.2109375,49508.48828125,49466.890625,49470.71875,38203937
2026-01-07 14:30:00+00:00,49512.71875,49621.4296875,49361.80859375,49376.78125,47546592
2026-01-07 15:00:00+00:00,49371.8203125,49394.51953125,49220.8984375,49231.80078125,48547235
2026-01-07 15:30:00+00:00,49231.7109375,49305.0,49209.76171875,49286.83984375,45124561
2026-01-07 16:00:00+00:00,49284.87890625,49319.30078125,49262.71875,49306.2890625,26489327
2026-01-07 16:30:00+00:00,49306.16015625,49381.46875,49284.8203125,49368.9609375,22780756
2026-01-07 17:00:00+00:00,49368.69140625,49403.80078125,49362.8203125,49380.6015625,20619852
2026-01-07 17:30:00+00:00,49380.421875,49380.421875,49262.41015625,49280.44921875,23814993
2026-01-07 18:00:00+00:00,49280.8203125,49280.8203125,49188.48046875,49193.05859375,19347246
2026-01-07 18:30:00+00:00,49193.05859375,49234.98046875,49164.6015625,49232.26171875,21153274
2026-01-07 19:00:00+00:00,49232.8203125,49240.9609375,49129.12109375,49147.6796875,20929386
2026-01-07 19:30:00+00:00,49151.140625,49197.26953125,49146.8515625,49154.94921875,18366448
2026-01-07 20:00:00+00:00,49156.23046875,49172.578125,49032.37109375,49042.55859375,23504207
2026-01-07 20:30:00+00:00,49042.4609375,49042.4609375,48951.98828125,48999.390625,57067980
2026-01-08 14:30:00+00:00,48850.171875,49099.51171875,48792.33984375,49055.48046875,51420427
2026-01-08 15:00:00+00:00,49047.4296875,49198.03125,49036.69921875,49149.2890625,46514476
2026-01-08 15:30:00+00:00,49149.66015625,49219.921875,49104.33984375,49214.71875,39395672
2026-01-08 16:00:00+00:00,49215.5703125,49267.76171875,49161.19921875,49263.37890625,31254373
2026-01-08 16:30:00+00:00,49262.8203125,49313.671875,49239.2109375,49298.96875,27178282
2026-01-08 17:00:00+00:00,49298.6796875,49327.48828125,49267.08984375,49278.48046875,21393357
2026-01-08 17:30:00+00:00,49278.73828125,49357.73828125,49278.73828125,49322.23046875,22569424
2026-01-08 18:00:00+00:00,49322.08984375,49333.23046875,49240.94140625,49275.0390625,19804096
2026-01-08 18:30:00+00:00,49275.0703125,49304.94140625,49244.46875,49258.359375,18229753
2026-01-08 19:00:00+00:00,49258.4609375,49293.76171875,49215.328125,49261.53125,21388226
2026-01-08 19:30:00+00:00,49262.0,49287.3203125,49215.328125,49237.171875,20877002
2026-01-08 20:00:00+00:00,49236.4609375,49274.05078125,49223.828125,49271.26171875,23996682
2026-01-08 20:30:00+00:00,49270.76953125,49301.26953125,49239.46875,49257.73828125,53559945
2026-01-09 14:30:00+00:00,49234.80859375,49465.87890625,49234.73046875,49386.2890625,39777242
2026-01-09 15:00:00+00:00,49383.859375,49469.109375,49197.05859375,49447.19921875,42864497
2026-01-09 15:30:00+00:00,49447.578125,49460.98046875,49319.1015625,49368.98828125,29754693
2026-01-09 16:00:00+00:00,49368.921875,49506.4609375,49356.28125,49451.94140625,24812671
2026-01-09 16:30:00+00:00,49451.83984375,49556.28125,49406.73046875,49527.16015625,21991746
2026-01-09 17:00:00+00:00,49526.01953125,49566.96875,49519.328125,49554.94140625,19182909
2026-01-09 17:30:00+00:00,49554.55859375,49571.41015625,49481.05859375,49481.8984375,17946376
2026-01-09 18:00:00+00:00,49482.30078125,49502.37109375,49446.51953125,49468.12109375,16627843
2026-01-09 18:30:00+00:00,49468.12109375,49532.2890625,49466.87890625,49489.71875,16963577
2026-01-09 19:00:00+00:00,49488.4296875,49521.921875,49476.62890625,49519.6015625,20433620
2026-01-09 19:30:00+00:00,49519.28125,49533.5,49492.2890625,49522.46875,17685060
2026-01-09 20:00:00+00:00,49522.140625,49539.7890625,49490.7890625,49538.3515625,22147983
2026-01-09 20:30:00+00:00,49537.6015625,49552.44140625,49497.69921875,49500.19921875,52637913
2026-01-12 14:30:00+00:00,49499.671875,49499.671875,49011.30859375,49337.3203125,43627379
2026-01-12 15:00:00+00:00,49336.8984375,49343.76171875,49198.01953125,49245.87890625,36037236
2026-01-12 15:30:00+00:00,49247.28125,49426.44921875,49246.21875,49417.859375,31360837
2026-01-12 16:00:00+00:00,49418.078125,49443.0703125,49380.87890625,49413.78125,27100503
2026-01-12 16:30:00+00:00,49415.94140625,49493.3984375,49410.0390625,49427.41015625,23672794
2026-01-12 17:00:00+00:00,49427.6484375,49458.71875,49390.6015625,49426.21875,24524787
2026-01-12 17:30:00+00:00,49426.08984375,49464.58984375,49391.9609375,49453.3984375,20096595
2026-01-12 18:00:00+00:00,49454.55859375,49525.140625,49444.8515625,49517.23046875,18837052
2026-01-12 18:30:00+00:00,49517.01171875,49542.16015625,49509.421875,49535.4296875,18503893
2026-01-12 19:00:00+00:00,49535.48828125,49543.7890625,49500.80859375,49515.3984375,18696007
2026-01-12 19:30:00+00:00,49514.94140625,49583.1796875,49507.171875,49564.76171875,20945670
2026-01-12 20:00:00+00:00,49564.55078125,49587.83984375,49509.2890625,49535.828125,24912059
2026-01-12 20:30:00+00:00,49535.8515625,49633.3515625,49532.80078125,49587.48828125,53780893
2026-01-13 14:30:00+00:00,49616.94921875,49616.94921875,49271.5,49310.4296875,41486312
2026-01-13 15:00:00+00:00,49304.3515625,49316.671875,49208.609375,49248.9296875,39549965
2026-01-13 15:30:00+00:00,49248.859375,49403.078125,49243.640625,49296.44921875,36865243
2026-01-13 16:00:00+00:00,49296.46875,49340.55078125,49209.26953125,49284.9609375,35093718
2026-01-13 16:30:00+00:00,49285.421875,49321.6484375,49243.73828125,49291.328125,37397314
2026-01-13 17:00:00+00:00,49291.76171875,49329.0390625,49265.44921875,49299.1484375,28071527
2026-01-13 17:30:00+00:00,49298.8515625,49308.078125,49230.671875,49245.33984375,26376990
2026-01-13 18:00:00+00:00,49245.01953125,49245.01953125,49185.55859375,49236.140625,22846043
2026-01-13 18:30:00+00:00,49237.55859375,49304.4609375,49220.83984375,49247.33984375,22527543
2026-01-13 19:00:00+00:00,49245.58984375,49269.41015625,49180.55078125,49233.078125,26934580
2026-01-13 19:30:00+00:00,49233.3203125,49251.23046875,49171.75,49196.78125,23525243
2026-01-13 20:00:00+00:00,49197.9296875,49198.5703125,49109.171875,49115.12890625,27277111
2026-01-13 20:30:00+00:00,49115.01953125,49196.671875,49056.30859375,49187.6484375,61848238
2026-01-14 14:30:00+00:00,49088.25,49195.1015625,49001.55859375,49021.21875,73757423
2026-01-14 15:00:00+00:00,49018.98828125,49148.578125,48963.33984375,48998.75,46108953
